iteration    condNo_k2
308.05   1.00199947
309.05   1.00199947
310.05   1.00199947
311.05   1.00199947
312.05   1.00199947
313.05   1.00199947
314.05   1.00199947
315.05   1.00199947
316.05   1.00199947
317.05   1.00199947
318.05   1.00199947
319.05   1.00199947
320.05   1.00199947
321.05   1.00199947
322.05   1.00199947
323.05   1.00199947
324.05   1.00199947
325.05   1.00199947
326.05   1.00199947
327.05   1.00199947
328.05   1.00199947
329.05   1.00199947
330.05   1.00199947
331.05   1.00199947
332.05   1.00199947
333.05   1.00199947
334.06   1.00199947
335.06   1.00199947
336.06   1.00199947
337.06   1.00199947
338.06   1.00199947
339.06   1.00199947
340.06   1.00199947
341.06   1.00199947
342.06   1.00199947
343.06   1.00199947
344.06   1.00199947
345.06   1.00199947
346.06   1.00199947
347.06   1.00199947
348.06   1.00199947
349.06   1.00199947
350.06   1.00199947
351.06   1.00199947
352.06   1.00199947
353.06   1.00199947
354.06   1.00199947
355.06   1.00199947
356.06   1.00199947
357.06   1.00199947
358.06   1.00199947
359.06   1.00199947
360.06   1.00199947
361.06   1.00199947
362.06   1.00199947
363.06   1.00199947
364.06   1.00199947
365.06   1.00199947
366.06   1.00199947
367.06   1.00199947
368.06   1.00199947
369.06   1.00199947
370.06   1.00199947
371.06   1.00199947
372.06   1.00199947
373.06   1.00199947
374.06   1.00199947
375.06   1.00199947
376.06   1.00199947
377.06   1.00199947
378.06   1.00199947
379.06   1.00199947
380.06   1.00199947
381.06   1.00199947
382.06   1.00199947
383.06   1.00199947
384.06   1.00199947
385.06   1.00199947
386.06   1.00199947
387.06   1.00199947
388.06   1.00199947
389.06   1.00199947
390.06   1.00199947
391.06   1.00199947
392.06   1.00199947
393.06   1.00199947
394.07   1.00199947
395.07   1.00199947
396.07   1.00199947
397.07   1.00199947
398.07   1.00199947
399.07   1.00199947
400.07   1.00199947
401.07   1.00199947
402.07   1.00199947
403.07   1.00199947
404.07   1.00199947
405.07   1.00199947
406.07   1.00199947
407.07   1.00199947
408.07   1.00199947
409.07   1.00199947
410.07   1.00199947
411.07   1.00199947
412.07   1.00199947
413.07   1.00199947
414.07   1.00199947
415.07   1.00199947
416.07   1.00199947
417.07   1.00199947
418.07   1.00199947
419.07   1.00199947
420.07   1.00199947
421.07   1.00199947
422.07   1.00199947
423.07   1.00199947
424.07   1.00199947
425.07   1.00199947
426.07   1.00199947
427.07   1.00199947
428.07   1.00199947
429.07   1.00199947
430.07   1.00199947
431.07   1.00199947
432.07   1.00199947
433.07   1.00199947
434.07   1.00199947
435.07   1.00199947
436.07   1.00199947
437.07   1.00199947
438.07   1.00199947
439.07   1.00199947
440.07   1.00199947
441.07   1.00199947
442.07   1.00199947
443.07   1.00199947
444.07   1.00199947
445.07   1.00199947
446.07   1.00199947
447.07   1.00199947
448.07   1.00199947
449.07   1.00199947
450.07   1.00199947
451.07   1.00199947
452.07   1.00199947
453.07   1.00199947
454.07   1.00199947
455.08   1.00199947
456.08   1.00199947
457.08   1.00199947
458.08   1.00199947
459.08   1.00199947
